"","WT_rep1","WT_rep2","WT_rep3","14_rep1","14_rep2","14_rep3","15_rep1","15_rep2","15_rep3","16_rep1","16_rep2","16_rep3"
"POT000320",22.8477776693455,23.2103711077592,23.1403355167456,22.9233035443854,22.9692846285312,22.9384410431402,22.6632514530709,22.6216503753077,22.8711712896802,22.8135854999073,22.7051218937394,22.7355394973433
"POT001226",25.0374142368153,25.170813839668,25.0865486560946,25.5118949824154,25.1112388486716,25.0941814467996,25.4558516926248,24.9908373103337,25.1486829344789,25.3051471844293,25.1809759841744,25.2053455229247
"POT011654",21.7211309048937,20.9921002297525,20.5866455727067,20.8682347730956,20.4074835415024,21.1951438843842,20.9462809208455,0,20.655083445198,21.1582620481801,21.0124308557519,21.2866976278083
"POT003563",23.7455036398055,23.7150252236844,23.7331411387878,0,23.8917095496349,23.8901328842667,23.6298981908051,23.5399047196718,23.7654706459933,23.868630421726,23.8480452137619,24.0013566490131
"POT000430",25.7098297211141,25.8126702907529,25.4607023545915,25.6946082672511,26.1476547589936,25.7065137238289,25.9155198212157,25.5297848758809,26.298502706219,25.8691954459006,25.8168500700668,25.971057941226
"POT003599",23.7512367528206,23.6537066712934,23.6252227861177,24.0500113591596,23.9926534899255,24.0125672550184,24.0268178863432,23.852052437535,24.378817137926,24.5965633163105,24.2964211093854,24.2354954058049
"POT005122",22.8056769683884,23.2674233702545,23.0138113029594,0,22.9910103783571,23.1218199446904,0,22.7149623597858,22.7181858396873,0,0,0
"POT000820",23.8028208281794,0,23.5988930396028,24.0119704129966,23.5922918674382,23.3804695204693,24.0853739054032,23.6958297875413,23.7228617179164,23.8491912710505,23.6175087177701,24.1315549360458
"POT002619",24.8097543930279,25.7113798338519,25.2949499365161,24.3842957750497,24.8261923437867,24.7758537805792,24.4364431587226,24.1576146227574,23.4142878041309,23.8102939108043,24.2766100469151,24.2547945058072
"POT011702",23.73634494728,0,22.8293511139856,0,22.7896689549632,22.4558579620636,0,22.5073649446533,22.2048158868654,0,22.2161419252872,0
